propuesta,tipo,instituciones,programas,matricula,n_variantes,variantes,revisar,firma
DE SUBESPECIALIDAD MEDICA EN MEDICINA INTENSIVA PEDIATRICA,Médica,1,1,2,1,DE SUBESPECIALIDAD MEDICA EN MEDICINA INTENSIVA PEDIATRICA,una sola institución: puede ser un duplicado sin unir,INTENSIVA MEDICA MEDICINA PEDIATRICA SUBESPECIALIDAD
MASTOLOGIA,Médica,1,1,2,1,MASTOLOGIA,una sola institución: puede ser un duplicado sin unir,MASTOLOGIA
SUBESPECIALIDAD MEDICA EN MEDICINA PALIATIVA,Médica,1,1,2,1,SUBESPECIALIDAD MEDICA EN MEDICINA PALIATIVA,una sola institución: puede ser un duplicado sin unir,MEDICA MEDICINA PALIATIVA SUBESPECIALIDAD
SUBESPECIALIDAD MEDICA EN NEFROLOGIA PEDIATRICA,Médica,1,1,2,1,SUBESPECIALIDAD MEDICA EN NEFROLOGIA PEDIATRICA,una sola institución: puede ser un duplicado sin unir,MEDICA NEFROLOGIA PEDIATRICA SUBESPECIALIDAD
ADOLESCENCIA,Médica,1,1,1,1,ADOLESCENCIA,una sola institución: puede ser un duplicado sin unir,ADOLESCENCIA
SUBESPECIALIDAD MEDICA EN MEDICINA DE LA ADOLESCENCIA,Médica,1,1,1,1,SUBESPECIALIDAD MEDICA EN MEDICINA DE LA ADOLESCENCIA,una sola institución: puede ser un duplicado sin unir,ADOLESCENCIA MEDICA MEDICINA SUBESPECIALIDAD
ENDOCRINOLOGIA ADULTO Y ENFERMEDADES METABOLICAS,Médica,1,1,1,1,ENDOCRINOLOGIA ADULTO Y ENFERMEDADES METABOLICAS,una sola institución: puede ser un duplicado sin unir,ADULTO ENDOCRINOLOGIA ENFERMEDAD METABOLICA
SUB ESPECIALIDAD EN MEDICINA INTENSIVA ADULTO,Médica,1,1,1,1,SUB ESPECIALIDAD EN MEDICINA INTENSIVA ADULTO,quedan palabras administrativas,ADULTO ESPECIALIDAD INTENSIVA MEDICINA SUB
DE SUBESPECIALIDAD MEDICA EN INFECTOLOGIA DE ADULTOS,Médica,1,1,1,1,DE SUBESPECIALIDAD MEDICA EN INFECTOLOGIA DE ADULTOS,una sola institución: puede ser un duplicado sin unir,ADULTO INFECTOLOGIA MEDICA SUBESPECIALIDAD
NEFROLOGIA DE ADULTOS,Médica,1,1,1,1,NEFROLOGIA DE ADULTOS,una sola institución: puede ser un duplicado sin unir,ADULTO NEFROLOGIA
SUBESPECIALIDAD EN ANESTESIA REGIONAL Y ANALGESIA PERIOPERATORIA,Médica,1,1,1,1,SUBESPECIALIDAD EN ANESTESIA REGIONAL Y ANALGESIA PERIOPERATORIA,una sola institución: puede ser un duplicado sin unir,ANALGESIA ANESTESIA PERIOPERATORIA REGIONAL SUBESPECIALIDAD
