k,id_proceso,tipo_cna,institucion_cna,Acreditación Extendida,Total de Procesos,Gestión Institucional,Docencia de Pregrado,Investigación,Vinculación con el Medio,Docencia de Postgrado,Docencia y Resultados del Proceso de Formación,Gestión Estratégica y Recursos Institucionales,Aseguramiento Interno de la Calidad,"Investigación, Creación y/o Innovación",resultado,nivel,anios,desde,hasta,agencia,Decisión /Fecha Sesión,Decisión/Agencia,Decisión/Resultado Acreditacíón,Decisión/Años,Decisión/Fecha Vigencia Desde,Decisión/Fecha Vigencia Hasta,Reposición/Fecha Sesión,Reposición/Agencia,Reposición/Resultado,Reposición/Años,Reposición/Fecha Vigencia Desde,Reposición/Fecha Vigencia Hasta,Apelación/Fecha Sesión,Apelación/Agencia,Apelación/Resultado,Apelación/Años,Apelación/Fecha Vigencia Desde,Apelación/Fecha Vigencia Hasta,resultado_raw,en_proceso,rescatado,anio_acreditacion,marco,nivel_derivado,cubre
ACADEMIA DE CIENCIAS POLICIALES DE CARABINEROS,INST-00130-01-00,FUERZAS ARMADAS Y DE ORDEN,ACADEMIA DE CIENCIAS POLICIALES DE CARABINEROS,Si,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,4,2022-05-04,2026-05-04,,04/05/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,04/05/2022,04/05/2026,,,,,,,,,,,,,ACREDITADA<br/> (EN PROCESO),True,True,2022,Ley 21.091,False,False
ACADEMIA DE GUERRA AEREA,INST-00144-01-00,FUERZAS ARMADAS Y DE ORDEN,ACADEMIA DE GUERRA AÉREA,No,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,4,2023-07-20,2027-07-20,CNA-CHILE,20/07/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,20/07/2023,20/07/2027,,,,,,,,,,,,,ACREDITADA,False,False,2023,Ley 21.091,False,True
ACADEMIA DE GUERRA DEL EJERCITO,INST-00132-01-00,FUERZAS ARMADAS Y DE ORDEN,ACADEMIA DE GUERRA DEL EJÉRCITO,No,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,5,2022-02-24,2027-02-24,CNA-CHILE,24/02/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,24/02/2022,24/02/2027,20/07/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACOGE,5,24/02/2022,24/02/2027,,,,,,,ACREDITADA,False,False,2022,Ley 21.091,False,True
ACADEMIA DE GUERRA NAVAL DE LA ARMADA,INST-00137-01-00,FUERZAS ARMADAS Y DE ORDEN,ACADEMIA DE GUERRA NAVAL DE LA ARMADA,No,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,5,2022-08-24,2027-08-24,CNA-CHILE,24/08/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,24/08/2022,24/08/2027,,,,,,,,,,,,,ACREDITADA,False,False,2022,Ley 21.091,False,True
ACADEMIA NACIONAL DE ESTUDIOS POLITICOS Y ESTRATEGICOS,INST-00133-01-00,FUERZAS ARMADAS Y DE ORDEN,ACADEMIA NACIONAL DE ESTUDIOS POLÍTICOS Y ESTRATÉGICOS,Si,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,4,2021-12-16,2025-12-16,,16/12/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,16/12/2021,16/12/2025,,,,,,,,,,,,,ACREDITADA<br/> (EN PROCESO),True,True,2021,Ley 21.091,False,False
ACADEMIA POLITECNICA AERONAUTICA,INST-00145-01-00,FUERZAS ARMADAS Y DE ORDEN,ACADEMIA POLITÉCNICA AERONÁUTICA,No,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,4,2023-06-15,2027-06-15,CNA-CHILE,15/06/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,15/06/2023,15/06/2027,,,,,,,,,,,,,ACREDITADA,False,False,2023,Ley 21.091,False,True
ACADEMIA POLITECNICA MILITAR,INST-00096-03-00,FUERZAS ARMADAS Y DE ORDEN,ACADEMIA POLITÉCNICA MILITAR,Si,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,4,2021-10-13,2025-10-13,,13/10/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,13/10/2021,13/10/2025,,,,,,,,,,,,,ACREDITADA<br/> (EN PROCESO),True,True,2021,Ley 21.091,False,False
ACADEMIA POLITECNICA NAVAL,INST-00087-04-00,FUERZAS ARMADAS Y DE ORDEN,ACADEMIA POLITÉCNICA NAVAL,No,,Si,Si,No,Si,No,No,No,No,No,ACREDITADA,AVANZADO,5,2023-10-11,2028-10-11,CNA-CHILE,11/10/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,11/10/2023,11/10/2028,,,,,,,,,,,,,ACREDITADA,False,False,2023,Ley 21.091,False,True
ACADEMIA SUPERIOR DE ESTUDIOS POLICIALES DE LA POLICIA DE INVESTIGACIONES DE CHILE,INST-00139-01-00,FUERZAS ARMADAS Y DE ORDEN,ACADEMIA SUPERIOR DE ESTUDIOS POLICIALES DE LA POLICÍA DE INVESTIGACIONES DE CHILE,No,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,4,2023-02-24,2027-02-24,CNA-CHILE,24/02/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,24/02/2023,24/02/2027,,,,,,,,,,,,,ACREDITADA,False,False,2023,Ley 21.091,False,True
CFT ALPES,INST-00131-02-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA ALPES,No,,No,No,No,No,No,Si,Si,Si,No,ACREDITADA,BÁSICO,3,2025-10-16,2028-10-16,CNA-CHILE,16/10/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,3,16/10/2025,16/10/2028,,,,,,,,,,,,,ACREDITADA,False,False,2025,Ley 21.091,False,True
CFT ANDRES BELLO,INST-00001-05-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA ANDRÉS BELLO,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,27/07/2016,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,05/10/2016,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,,,,,CONSEJO NACIONAL DE EDUCACIÓN,NO ACOGE,0,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
CFT ASISTE,INST-00147-02-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA ASISTE,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,08/07/2026,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,,,,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
CFT BARROS ARANA,INST-00085-01-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA BARROS ARANA,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,1,2010-02-24,2011-08-24,,24/02/2010,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,24/02/2010,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACOGE,1,24/02/2010,24/08/2011,,,,,,,NO ACREDITADA,False,True,2010,Ley 20.129 (régimen anterior),False,False
CFT CANON,INST-00114-02-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA CANON,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,05/03/2026,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,,,,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
CFT CEDUC UCN,INST-00002-04-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA CEDUC - UCN,No,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,5,2021-11-04,2026-11-04,CNA-CHILE,04/11/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,04/11/2021,04/11/2026,11/05/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,5,04/11/2021,04/11/2026,,,,,,,ACREDITADA<br/> (EN PROCESO),True,False,2021,Ley 21.091,False,True
CFT CEITEC,INST-10013-01-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA CEITEC,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,09/11/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,,,,,,,,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
CFT CENCO,INST-00108-03-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA CENCO,No,,No,No,No,No,No,Si,Si,Si,No,ACREDITADA,BÁSICO,3,2026-04-08,2029-04-08,CNA-CHILE,08/04/2026,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,3,08/04/2026,08/04/2029,,,,,,,,,,,,,ACREDITADA,False,False,2026,Ley 21.091,False,True
CFT CENTRO TECNOLOGICO SUPERIOR INFOMED,INST-10002-01-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA CENTRO TECNOLÓGICO SUPERIOR INFOMED,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,27/09/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,,,,,,,,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
CFT DUOC UC,INST-00004-02-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA DUOC UC,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,6,2011-11-23,2017-11-23,,23/11/2011,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,6,23/11/2011,23/11/2017,,,,,,,,,,,,,NO ACREDITADA,False,True,2011,Ley 21.091,False,False
CFT EDUCAP,INST-10014-01-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA EDUCAP,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,27/01/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,,,,,,,,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
CFT ENAC,INST-00098-03-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA ENAC,No,,Si,Si,No,Si,No,No,No,No,No,ACREDITADA,DE EXCELENCIA,6,2022-10-26,2028-10-26,CNA-CHILE,14/09/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,26/10/2022,26/10/2027,26/10/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACOGE,6,26/10/2022,26/10/2028,,,,,,,ACREDITADA,False,False,2022,Ley 21.091,False,True
CFT ESCUELA CULINARIA FRANCESA,INST-00134-01-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA ESCUELA CULINARIA FRANCESA,No,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,4,2022-10-05,2026-10-05,CNA-CHILE,05/10/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,05/10/2022,05/10/2026,,,,,,,,,,,,,ACREDITADA,False,False,2022,Ley 21.091,False,True
CFT ESCUELA DE COMERCIO DE SANTIAGO,INST-00090-06-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA ESCUELA DE COMERCIO DE SANTIAGO,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,28/05/2024,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,,,,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
CFT ESCUELA SUPERIOR DE ADMINISTRACION DE NEGOCIOS DEL NORTE ESANE DEL NORTE,INST-10011-01-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA ESCUELA SUPERIOR DE ADMINISTRACIÓN DE NEGOCIOS DEL NORTE - ESANE DEL NORTE,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,09/11/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,,,,,,,,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
CFT ICCE,INST-00079-02-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA ICCE,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,11/05/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,21/09/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,0,,,31/05/2023,CONSEJO NACIONAL DE EDUCACIÓN,NO ACOGE,0,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
CFT ICEL,INST-10008-01-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA ICEL,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,21/04/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,,,,,,,,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
CFT INACAP,INST-00005-04-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA INACAP,No,,No,No,No,No,No,Si,Si,Si,Si,ACREDITADA,DE EXCELENCIA,7,2025-08-13,2032-08-13,CNA-CHILE,13/08/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,7,13/08/2025,13/08/2032,,,,,,,,,,,,,ACREDITADA,False,False,2025,Ley 21.091,False,True
CFT INDUSTRIA GRAFICA,INST-10003-01-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA DE LA INDUSTRIA GRÁFICA,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,27/09/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,,,,,,,,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
CFT INSEC,INST-00110-01-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA INSEC,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,2,2013-09-25,2015-09-25,,25/09/2013,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,2,25/09/2013,25/09/2015,,,,,,,,,,,,,NO ACREDITADA,False,True,2013,Ley 20.129 (régimen anterior),False,False
CFT INSTITUTO SUPERIOR ALEMAN DE COMERCIO INSALCO,INST-00150-01-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA INSTITUTO SUPERIOR ALEMÁN DE COMERCIO INSALCO,No,,No,No,No,No,No,Si,Si,Si,No,ACREDITADA,BÁSICO,3,2025-10-15,2028-10-15,CNA-CHILE,15/10/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,3,15/10/2025,15/10/2028,02/07/2026,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACOGE,3,15/10/2025,15/10/2028,,,,,,,ACREDITADA,False,False,2025,Ley 21.091,False,True
CFT INSTITUTO TECNOLOGICO DE CHILE ITC,INST-10004-01-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA INSTITUTO TECNOLÓGICO DE CHILE ITC,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,27/09/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,,,,,,,,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
CFT IPROSEC,INST-00007-06-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA IPROSEC,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,28/03/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,,,,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
CFT JUAN BOHON,INST-00116-04-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA JUAN BOHON,No,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,4,2023-04-05,2027-04-05,CNA-CHILE,05/04/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,05/04/2023,05/04/2027,,,,,,,,,,,,,ACREDITADA,False,False,2023,Ley 21.091,False,True
CFT LAPLACE,INST-00140-02-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA LAPLACE,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,,,,,,,,,,,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
CFT LOS LAGOS,INST-00142-01-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA LOS LAGOS,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,26/04/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,,,,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
CFT LOTA ARAUCO,INST-00008-06-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA LOTA ARAUCO,No,,Si,Si,No,Si,No,No,No,No,No,ACREDITADA,AVANZADO,4,2023-07-22,2027-07-22,CNA-CHILE,20/07/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,22/07/2023,22/07/2027,,,,,,,,,,,,,ACREDITADA,False,False,2023,Ley 21.091,False,True
CFT MANPOWER,INST-00122-03-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA MANPOWER,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,07/01/2026,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,,,,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
CFT MEDIO AMBIENTE IDMA,INST-00003-06-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA DEL MEDIO AMBIENTE IDMA,No,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,BÁSICO,3,2024-02-28,2027-02-28,CNA-CHILE,28/02/2024,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,3,28/02/2024,28/02/2027,08/08/2024,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,3,28/02/2024,28/02/2027,,,,,,,ACREDITADA,False,False,2024,Ley 21.091,False,True
CFT PROANDES,INST-00104-03-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA PROANDES,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,2,2018-08-29,2020-08-29,,29/08/2018,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,2,29/08/2018,29/08/2020,05/12/2018,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,2,29/08/2018,29/08/2020,,,,,,,NO ACREDITADA,False,True,2018,Ley 20.129 (régimen anterior),False,False
CFT PRODATA,INST-00153-01-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA PRODATA,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,26/02/2026,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,,,,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
CFT PROFASOC,INST-10007-01-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA PROFASOC,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,09/11/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,,,,,,,,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
CFT PROTEC,INST-00102-02-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA PROTEC,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,25/03/2026,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,,,,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
CFT SAN AGUSTIN,INST-00009-05-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA SAN AGUSTÍN,No,,No,No,No,No,No,Si,Si,Si,No,ACREDITADA,AVANZADO,5,2024-10-09,2029-10-09,CNA-CHILE,09/10/2024,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,09/10/2024,09/10/2029,23/04/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,5,09/10/2024,09/10/2029,,,,,,,ACREDITADA,False,False,2024,Ley 21.091,False,True
CFT SANTO TOMAS,INST-00010-07-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA SANTO TOMÁS,No,,No,No,No,No,No,Si,Si,Si,No,ACREDITADA,DE EXCELENCIA,6,2024-12-21,2030-12-21,CNA-CHILE,11/12/2024,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,6,21/12/2024,21/12/2030,,,,,,,,,,,,,ACREDITADA,False,False,2024,Ley 21.091,False,True
CFT TARAPACA,INST-00083-03-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA TARAPACÁ,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,3,2017-12-05,2020-12-05,,15/11/2017,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,3,05/12/2017,05/12/2020,28/02/2018,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,3,05/12/2017,05/12/2020,,,,,,,NO ACREDITADA,False,True,2017,Ley 21.091,False,False
CFT TEODORO WICKEL KLUWEN,INST-00119-04-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA TEODORO WICKEL KLÜWEN,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,31/03/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,,,,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
CFT UDA,INST-00115-01-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA UDA,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,21/01/2015,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,27/05/2015,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,,,,,CONSEJO NACIONAL DE EDUCACIÓN,NO ACOGE,0,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
CFT UVALPO,INST-00113-02-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA UVALPO,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,3,2017-08-02,2020-08-02,,12/10/2016,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,03/01/2017,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,,,,,CONSEJO NACIONAL DE EDUCACIÓN,ACOGE,3,02/08/2017,02/08/2020,NO ACREDITADA,False,True,2017,Ley 21.091,False,False
CORPORACION CENTRO DE FORMACION TECNICA DE LA PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO O CFT PUCV,INST-00100-04-00,CENTRO DE FORMACIÓN TÉCNICA,CORPORACIÓN CENTRO DE FORMACIÓN TÉCNICA DE LA PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO O CFT PUCV,No,,Si,Si,No,Si,No,No,No,No,No,ACREDITADA,AVANZADO,5,2022-01-12,2027-01-12,CNA-CHILE,12/01/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,12/01/2022,12/01/2027,13/07/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,5,12/01/2022,12/01/2027,,,,,,,ACREDITADA,False,False,2022,Ley 21.091,False,True
ESCUELA DE AVIACION CAPITAN MANUEL AVALOS PRADO,INST-00011-04-00,FUERZAS ARMADAS Y DE ORDEN,ESCUELA DE AVIACIÓN CAPITÁN MANUEL ÁVALOS PRADO,No,,Si,Si,No,Si,No,No,No,No,No,ACREDITADA,AVANZADO,5,2023-08-03,2028-08-03,CNA-CHILE,03/08/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,03/08/2023,03/08/2028,,,,,,,,,,,,,ACREDITADA,False,False,2023,Ley 21.091,False,True
ESCUELA DE CARABINEROS DE CHILE DEL GENERAL CARLOS IBANEZ DEL CAMPO,INST-00127-02-00,FUERZAS ARMADAS Y DE ORDEN,"ESCUELA DE CARABINEROS DE CHILE, DEL GENERAL CARLOS IBAÑEZ DEL CAMPO",No,,Si,Si,No,Si,No,No,No,No,No,ACREDITADA,AVANZADO,4,2022-12-20,2026-12-20,CNA-CHILE,24/11/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,20/12/2022,20/12/2026,,,,,,,,,,,,,ACREDITADA<br/> (EN PROCESO),True,False,2022,Ley 21.091,False,True
ESCUELA DE ESPECIALIDADES SGTO 1O ADOLFO MENADIER ROJAS DE LA FUERZA AEREA,INST-00138-01-00,FUERZAS ARMADAS Y DE ORDEN,ESCUELA DE ESPECIALIDADES SGTO 1º ADOLFO MENADIER ROJAS DE LA FUERZA AÉREA,No,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,4,2022-08-17,2026-08-17,CNA-CHILE,17/08/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,17/08/2022,17/08/2026,,,,,,,,,,,,,ACREDITADA,False,False,2022,Ley 21.091,False,True
ESCUELA DE GRUMETES A N C,INST-00105-03-00,FUERZAS ARMADAS Y DE ORDEN,ESCUELA DE GRUMETES A.N.C.,No,,Si,Si,No,Si,No,No,No,No,No,ACREDITADA,AVANZADO,5,2022-03-16,2027-03-16,CNA-CHILE,16/03/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,16/03/2022,16/03/2027,,,,,,,,,,,,,ACREDITADA,False,False,2022,Ley 21.091,False,True
