k,id_proceso,tipo_cna,institucion_cna,Acreditación Extendida,Total de Procesos,Gestión Institucional,Docencia de Pregrado,Investigación,Vinculación con el Medio,Docencia de Postgrado,Docencia y Resultados del Proceso de Formación,Gestión Estratégica y Recursos Institucionales,Aseguramiento Interno de la Calidad,"Investigación, Creación y/o Innovación",resultado,nivel,anios,desde,hasta,agencia,Decisión /Fecha Sesión,Decisión/Agencia,Decisión/Resultado Acreditacíón,Decisión/Años,Decisión/Fecha Vigencia Desde,Decisión/Fecha Vigencia Hasta,Reposición/Fecha Sesión,Reposición/Agencia,Reposición/Resultado,Reposición/Años,Reposición/Fecha Vigencia Desde,Reposición/Fecha Vigencia Hasta,Apelación/Fecha Sesión,Apelación/Agencia,Apelación/Resultado,Apelación/Años,Apelación/Fecha Vigencia Desde,Apelación/Fecha Vigencia Hasta,resultado_raw,en_proceso,rescatado,anio_acreditacion,marco,nivel_derivado,cubre
IP ESCUELA MODERNA DE MUSICA,INST-00082-05-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL ESCUELA MODERNA DE MÚSICA,No,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,5,2021-10-21,2026-10-21,CNA-CHILE,21/10/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,21/10/2021,21/10/2026,,,,,,,,,,,,,ACREDITADA,False,False,2021,Ley 21.091,False,True
IP ESUCOMEX,INST-00093-04-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL ESUCOMEX,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,5,2018-12-21,2023-12-21,,05/12/2018,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,21/12/2018,21/12/2023,,,,,,,,,,,,,NO ACREDITADA,False,True,2018,Ley 21.091,False,False
IP GALDAMEZ IPG,INST-00111-04-00,INSTITUTO PROFESIONAL,"INSTITUTO PROFESIONAL GALDÁMEZ, IPG",Si,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,4,2021-09-22,2025-09-22,,22/09/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,22/09/2021,22/09/2025,,,,,,,,,,,,,ACREDITADA<br/> (EN PROCESO),True,True,2021,Ley 21.091,False,False
IP GUILLERMO SUBERCASEAUX,INST-00019-05-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL GUILLERMO SUBERCASEAUX,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,5,2017-12-17,2022-12-17,,22/11/2017,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,17/12/2017,17/12/2022,09/05/2018,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACOGE,,,,,,,,,,NO ACREDITADA,False,True,2017,Ley 21.091,False,False
IP INACAP,INST-00020-04-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL INACAP,No,,Si,Si,No,Si,No,No,No,No,No,ACREDITADA,DE EXCELENCIA,7,2023-09-06,2030-09-06,CNA-CHILE,06/09/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,7,06/09/2023,06/09/2030,,,,,,,,,,,,,ACREDITADA,False,False,2023,Ley 21.091,False,True
IP INCACEA,INST-00095-01-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL INCACEA,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,04/01/2012,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,,,,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
IP LATINOAMERICANO DE COMERCIO EXTERIOR IPLACEX,INST-00121-03-00,INSTITUTO PROFESIONAL,"INSTITUTO PROFESIONAL LATINOAMERICANO DE COMERCIO EXTERIOR, IPLACEX",No,,No,No,No,No,No,Si,Si,Si,Si,ACREDITADA,AVANZADO,4,2026-01-14,2030-01-14,CNA-CHILE,14/01/2026,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,14/01/2026,14/01/2030,,,,,,,,,,,,,ACREDITADA,False,False,2026,Ley 21.091,False,True
IP LIBERTADOR DE LOS ANDES,INST-00136-01-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL LIBERTADOR DE LOS ANDES,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,28/09/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,23/02/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,0,,,19/07/2023,CONSEJO NACIONAL DE EDUCACIÓN,NO ACOGE,0,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
IP LOS LAGOS,INST-00106-02-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL LOS LAGOS,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,08/03/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,22/06/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,0,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
IP LOS LEONES,INST-00022-06-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL LOS LEONES,No,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,BÁSICO,3,2024-11-20,2027-11-20,CNED,08/11/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,09/05/2024,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,,,,20/11/2024,CONSEJO NACIONAL DE EDUCACIÓN,ACOGE,3,20/11/2024,20/11/2027,ACREDITADA,False,False,2024,Ley 21.091,False,True
